Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Event Date,Total Cost,Groups Invited,Sponsors
E001735,"Kipp, Cindy ",CareFirst BlueCross BlueShield,CareFirst BlueCross BlueShield,02/11/26,3509.53,Senate Finance Committee,CareFirst BlueCross BlueShield
E001734,"Kipp, Cindy ",CareFirst BlueCross BlueShield,CareFirst BlueCross BlueShield,02/04/26,5928.62,House Health Committee,CareFirst BlueCross BlueShield
E001715,"Kolp, Andrea Edna",The Arc Maryland,"Arc Maryland, The",02/18/26,30885.0,General Assembly,"Arc Maryland, The; Maryland Association for Community Services; People on the Go of Maryland; Disability Rights of Maryland; Maryland Developmental Disability Council"
E001803,"Kraska, Jenny ",Maryland Catholic Conference,Maryland Catholic Conference,04/13/26,13884.6,General Assembly,Maryland Catholic Conference; HBS Maryland; Manis Canning & Associates; Cable Television Association of Maryland & Delaware; Maryland Beer Wholesalers Association; G.S. Proctor & Associates
E001669,"Kraska, Jenny ",Maryland Catholic Conference,Maryland Catholic Conference,01/20/26,5810.33,General Assembly,Maryland Catholic Conference
E001677,"Kress, William Allen",Kress Hammen Government Affairs,Maryland Association of Nurse Anesthetists,02/17/26,3745.29,House Health Committee,Maryland Association of Nurse Anesthetists
E001683,"Kress, William Allen",Kress Hammen Government Affairs,Kress Hammen Government Affairs,02/11/26,4032.88,House Economic Matters Committee,Kress Hammen Government Affairs
E001676,"Kress, William Allen",Kress Hammen Government Affairs,Maryland Association of Nurse Anesthetists,02/10/26,2294.58,Senate Finance Committee,Maryland Association of Nurse Anesthetists
E001682,"Kress, William Allen",Kress Hammen Government Affairs,Kress Hammen Government Affairs,02/03/26,4000.0,"Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Kress Hammen Government Affairs
E001756,"Kujan, Russel ",Baltimore County Medical Association,Baltimore County Medical Association,02/25/26,140.0,Baltimore County Delegation; Howard County Delegation,Baltimore County Medical Association
E001548,"Kujan, Russel ",Baltimore County Medical Association,Baltimore County Medical Association,12/05/25,472.5,Baltimore County Delegation,Baltimore County Medical Association
