Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Event Date,Total Cost,Groups Invited,Sponsors
E001260,"Wise, J. Steven","Schwartz, Metz, Wise & Kauffman, P.A.","MedChi, The Maryland State Medical Society",01/13/25,7600.11,General Assembly,"MedChi, The Maryland State Medical Society"
E001351,"Martinez, Madelin  Stefany",Catholic Charities of Baltimore,Catholic Charities,01/29/25,7499.35,General Assembly,Catholic Charities
E001230,"Mingo, Dwayne B","Prince George's County Assn. of Realtors, Inc.","Prince George's County Association of Realtors, Inc.",12/05/24,7312.95,Prince George 's County Delegation,"Prince George's County Association of Realtors, Inc.; Ameris Bank; Brennan Title Company; Certainty Home Lending; Prosperity Home Mortgage; Sandy Spring Bank; Truist; United Bank; Ready to Sell Renovations; WesBanco; AWO Real Estate Title; BrightMLS; First Home Mortgage The Paquin Team; Interstate Moving and Storage; The Law Office of Midgett S. Parker; Northpointe Bank; Primary Residential Mortgage; Red Carpet Home Inspections; Titlemax; Trustfunds; Village Settlement ; Wells Fargo Home Mortgage"
E001221,"Morrow, Elizabeth ",Maryland Family Network,Maryland Family Network,11/20/24,7110.13,General Assembly,Maryland Family Network
E001330,"Jacobson, Jonas ",PerryJacobson,Concentra,02/25/25,7058.99,Senate Finance Committee,Concentra
E001422,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Maryland Association for Justice, Inc.",03/11/25,7023.94,House Economic Matters Committee,"Maryland Association for Justice, Inc."
E001349,"Teffeau, Matthew ",Choptank Electric Cooperative,"Choptank Electric Cooperative, Inc.",01/21/25,7000,"House Economic Matters Committee; Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)","Choptank Electric Cooperative, Inc."
E001232,"Costello, Christopher ",Public Sector Consulting Group,Howard County Chamber of Commerce,12/06/24,7000,Howard County Delegation,Howard County Chamber of Commerce
E001293,"Garagiola, Robert J","Compass Government Relations Partners, LLC",CTIA- The Wireless Association,01/21/25,6951.59,House Ways and Means Committee; Senate Budget and Taxation Committee,CTIA- The Wireless Association
E001413,"Sidh, Sushant ","Capitol Strategies, LLC","Reworld Waste, LLC",02/13/25,6915.11,House Economic Matters Committee,"Reworld Waste, LLC"
E001281,"Mansfield, Andrea ",Manis Canning & Associates,Boys & Girls Clubs of America,02/04/25,6856.55,General Assembly,Boys & Girls Clubs of America
E001456,Intelligent Transportation Society of Maryland,"VanDillen, Diederick ",Intelligent Transportation Society of Maryland,03/20/25,6836,House Environment and Transportation Committee; Senate Budget and Taxation Committee,Intelligent Transportation Society of Maryland
E001211,"Stierhoff, John R.",Venable LLP,State Law Enforcement Officers Labor Alliance (SLEOLA),01/29/25,6789.43,General Assembly,State Law Enforcement Officers Labor Alliance (SLEOLA)
E001284,"Harbeson, Kristen ",Maryland League of Conservation Voters,Maryland League of Conservation Voters,01/08/25,6781,General Assembly,Maryland League of Conservation Voters
E001352,"Enten, D. Robert",Gordon Feinblatt LLC,American Property Casualty Insurance Association,01/22/25,6680.94,General Assembly,American Property Casualty Insurance Association; Allstate Insurance Company; American Family Insurance Company; Erie Insurance Group; National Association of Mutual Insurance Companies (NAMIC); Nationwide Mutual Insurance Companies; NJM Insurance Group; Reinsurance Association of America; Selective Insurance Group; State Farm Mutual Automobile Insurance Company; USAA Group; Zurich North America
E001329,"Jacobson, Jonas ",PerryJacobson,Concentra,02/06/25,6673.52,House Economic Matters Committee,Concentra
E001488,"Levine, Brian ",Montgomery County Chamber of Commerce,Montgomery County Chamber of Commerce,09/17/25,6628.4,Montgomery County Delegation,Montgomery County Chamber of Commerce
E001317,"Gally, Eric ","Gally Public Affairs, Inc. ","Gally Public Affairs, Inc.",01/22/25,6580.98,House Appropriations Committee; Senate Budget and Taxation Committee,"Gally Public Affairs, Inc."
E001321,"Johansen, Michael Vernon",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,02/26/25,6568.26,Anne Arundel County Delegation; Baltimore City Delegation; Baltimore County Delegation; Harford County Delegation; Lower Eastern Shore Delegation; Upper Eastern Shore Delegation,"Rifkin Weiner Livingston LLC; 1/St Racing MD LLC; Allegany County Gov; ASC Engineering; Ashley Inc.; Baltimore Symphony Orchestra; Berkshire Hathaway Energy GT&S; Brewers Association of Maryland; Brown Advisory; Cable Telecommunications of MD, DE & DC; Canton Group; Catalis; *Celebree School; Chesapeake Shakespeare Company; Children's National Health System; Colonial Pipeline Company; Curio Wellness; Education Affiliates/Fortis College; Enterprise Rental Cars; Fair Hill Condominium Association; FedEx Corp; Gaudenzia; Helping Up Mission; Humanim Inc.; JMI Equity; Maryland Academy Pediatric Dentistry; Maryland Auto Dealers Assoc.; Maryland Physicians Care MCO; Maryland Realtors; Maryland Wineries Association; Mount Vernon Place Conservancy; Nareit; Premium Cigar Retailers Association of MD ; Sheppard Pratt Health System; Skyline Technology Solutions; ThinkBig Networks; *CBAC Gaming"
